student,2018-09-26/01,2018-10-03/01,2018-10-03/02,2018-10-10/02,2018-10-17/03,2018-10-24/03,2018-10-24/04,2018-10-31/04,2018-10-31/05,2018-11-07/05,2018-11-07/06,2018-11-14/06,2018-11-14/07,2018-11-21/07
273,2,0,0,1.5,0,1.5,2,0,2,0,0,1.5,0,0
261,2,0,0,1.5,0,1.5,2,0,2,0,2,0,0,0
212,2,0,0,1.5,0,0,0,1.5,2,0,2,0,0,0
223,2,0,0,1.5,0,0,2,0,0,1.5,2,0,2,0
224,2,0,0,1.5,0,1.5,2,0,0,0,0,1.5,0,0
254,2,0,2,0,0,1.5,2,0,0,1.5,2,0,0,0
185,2,0,2,0,2,0,2,0,2,0,0,0,0,0
170,0,1.5,0,0,0,1.5,2,0,2,0,2,0,2,0
269,2,0,2,0,0,0,0,1.5,0,1.5,2,0,2,0
246,0,1.5,0,0,0,1.5,0,1.5,0,1.5,2,0,0,0
253,0,1.5,0,0,0,1.5,0,1.5,0,1.5,2,0,0,0
283,0,1.5,0,1.5,0,1.5,0,0,0,1.5,2,0,2,0
298,2,0,0,0,0,1.5,2,0,2,0,2,0,0,0
194,2,0,2,0,0,0,2,0,2,0,0,0,0,0
156,0,0,0,0,0,0,0,1.5,0,0,2,0,2,0
200,0,1.5,0,1.5,0,1.5,0,0,0,0,2,0,0,0
227,2,0,0,1.5,0,1.5,0,1.5,0,1.5,2,0,0,0
211,2,0,0,1.5,0,0,0,0,0,0,2,0,0,0
161,2,0,0,1.5,0,1.5,0,1.5,0,1.5,2,0,0,0
168,2,0,0,1.5,2,0,2,0,0,1.5,2,0,2,0
119,2,0,2,0,0,0,0,1.5,2,0,2,0,0,0
247,2,0,2,0,2,0,2,0,0,1.5,2,0,0,0
164,0,1.5,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0
284,2,0,0,0,2,0,2,0,2,0,2,0,0,0
268,0,1.5,0,1.5,0,0,2,0,0,0,0,0,0,0
290,2,0,0,1.5,2,0,2,0,2,0,2,0,0,0
281,0,1.5,2,0,0,1.5,0,1.5,2,0,0,0,0,0
165,0,1.5,0,0,0,0,2,0,0,1.5,2,0,0,0
262,2,0,0,0,0,0,2,0,2,0,2,0,2,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2,0,2,0,2,0,2,0,0,1.5,2,0,0,0
112,2,0,0,0,0,1.5,2,0,0,1.5,0,1.5,0,0
294,0,1.5,0,0,0,0,0,1.5,0,1.5,0,0,0,0
137,0,0,0,0,2,0,0,1.5,2,0,2,0,0,0
245,2,0,0,1.5,0,0,2,0,0,1.5,2,0,0,0
129,0,1.5,0,1.5,0,0,2,0,0,1.5,0,1.5,0,0
193,0,0,0,0,0,1.5,2,0,0,1.5,2,0,2,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,2,0,0,1.5,0,1.5,2,0,2,0,0,0,0,0
270,0,1.5,0,1.5,0,1.5,2,0,0,1.5,0,0,2,0
126,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
160,2,0,0,1.5,0,0,2,0,0,1.5,2,0,2,0
189,2,0,2,0,0,1.5,0,0,2,0,2,0,0,0
272,0,1.5,0,1.5,0,1.5,2,0,2,0,2,0,0,0
233,2,0,0,1.5,2,0,0,1.5,0,0,2,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2,0,0,0,0,0,0,0,0,0,0,1.5,0,0
204,2,0,0,0,0,0,2,0,0,1.5,2,0,0,0
263,2,0,0,1.5,0,0,2,0,0,0,2,0,2,0
180,0,1.5,0,1.5,0,0,2,0,0,0,2,0,0,0
226,0,1.5,0,0,0,1.5,2,0,0,1.5,2,0,0,0
159,2,0,0,1.5,0,1.5,2,0,0,1.5,0,1.5,0,0
271,2,0,0,0,0,0,2,0,2,0,2,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,1.5,0,1.5,0,1.5,0,0,2,0,0,1.5,0,0
241,0,0,0,1.5,2,0,0,0,0,0,2,0,0,0
199,2,0,0,1.5,0,0,2,0,0,1.5,2,0,0,0
221,0,1.5,2,0,0,0,2,0,2,0,0,1.5,0,0
258,0,1.5,2,0,0,0,2,0,0,1.5,2,0,0,0
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2,0,0,1.5,0,1.5,2,0,2,0,0,0,2,0
209,0,1.5,0,0,0,0,2,0,2,0,2,0,0,0
276,0,0,0,0,0,0,2,0,2,0,2,0,2,0
118,2,0,0,0,0,1.5,2,0,2,0,2,0,0,0
250,0,0,0,1.5,0,1.5,2,0,2,0,2,0,0,0
154,0,0,0,1.5,0,0,2,0,0,1.5,2,0,2,0
182,0,1.5,0,1.5,0,0,2,0,0,0,2,0,0,0
240,2,0,0,1.5,2,0,2,0,2,0,2,0,0,0
217,2,0,0,1.5,0,1.5,0,1.5,2,0,2,0,2,0
122,2,0,2,0,0,0,0,0,0,0,2,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
